,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
0, Maruti,2016,Ciaz,83.61k,Petrol,Manual,"11,124"," Garuda Mall, Magrath Road, Bengaluru",5.69 lakh
1, Maruti,2020,Ciaz,61.12k,Petrol,Manual,"13,196"," Bellahalli, Bengaluru",6.75 lakh
2, Tata,2022,NEXON,19.30k,Petrol,Manual,"17,036"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",8.95 lakh
3, Maruti,2018,Vitara,37.18k,Diesel,Auto,"15,418"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",8.10 lakh
4, Mahindra,2022,Bolero,627.40k,Diesel,Manual,"17,340"," Vaishnavi Sapphire Centre, Yeswanthpur",9.11 lakh
5, Renault,2020,TRIBER,59.81k,Petrol,Auto,"10,753"," Vaishnavi Sapphire Centre, Yeswanthpur",5.50 lakh
6, Hyundai,2017,Creta,48.15k,Petrol,Auto,"16,122"," Vaishnavi Sapphire Centre, Yeswanthpur",8.47 lakh
7, Tata,2021,TIGOR,42.64k,Petrol,Manual,"9,775"," Garuda Mall, Magrath Road, Bengaluru",5.00 lakh
8, Renault,2021,TRIBER,54.61k,Petrol,Manual,"9,560"," Vaishnavi Sapphire Centre, Yeswanthpur",4.89 lakh
9, Renault,2018,Kwid,17.34k,Petrol,Auto,"7,683"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.93 lakh
10, Hyundai,2015,i10,152.70k,Petrol,Manual,"7,341", Gandhi Nagar,3.30 lakh
11, Renault,2022,TRIBER,36.80k,Petrol,Manual,"13,724"," Bellahalli, Bengaluru",7.02 lakh
12, Hyundai,2017,Grand,25.97k,Petrol,Manual,"9,384", Nexus Whitefield,4.80 lakh
13, Tata,2018,TIGOR,68.13k,Petrol,Auto,"9,091"," Bellahalli, Bengaluru",4.65 lakh
14, Maruti,2015,Swift,57.50k,Petrol,Manual,"10,522"," Vaishnavi Sapphire Centre, Yeswanthpur",4.73 lakh
15, Tata,2019,Tiago,36.00k,Petrol,Manual,"9,501"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.86 lakh
16, Maruti,2022,Celerio,38.37k,Petrol,Manual,"9,091"," Bellahalli, Bengaluru",4.65 lakh
17, Maruti,2015,Wagon,65.27k,Petrol,Auto,"8,586"," Bellahalli, Bengaluru",3.86 lakh
18, Renault,2016,Kwid,39.13k,Petrol,Manual,"5,024", Gandhi Nagar,2.57 lakh
19, Maruti,2023,FRONX,9.90k,Petrol,Auto,"16,560"," GT World Mall, Bengaluru",8.70 lakh
20, Hyundai,2021,NEW,15.94k,Petrol,Auto,"13,705"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",7.01 lakh
21, Toyota,2021,Glanza,22.08k,Petrol,Auto,"15,418"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",8.10 lakh
22, Maruti,2020,Baleno,216.81k,Petrol,Manual,"12,844"," Bellahalli, Bengaluru",6.57 lakh
23, Honda,2021,City,1.16k,Petrol,Manual,"15,171", Gandhi Nagar,7.76 lakh
24, Hyundai,2016,Creta,41.75k,Petrol,Manual,"14,897", Gandhi Nagar,7.62 lakh
25, Hyundai,2019,VENUE,29.86k,Petrol,Auto,"16,084", Gandhi Nagar,8.45 lakh
26, Nissan,2022,MAGNITE,23.23k,Petrol,Auto,"16,179", Nexus Whitefield,8.50 lakh
27, Maruti,2021,Celerio,8.21k,Petrol,Auto,"8,974", Nexus Whitefield,4.59 lakh
28, Maruti,2021,S,23.35k,Petrol,Manual,"8,328", Nexus Whitefield,4.26 lakh
29, Honda,2017,Jazz,23.83k,Petrol,Manual,"10,127"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",5.18 lakh
30, Maruti,2020,Celerio,57.44k,Petrol,Auto,"10,107"," Garuda Mall, Magrath Road, Bengaluru",5.17 lakh
31, Hyundai,2021,NEW,35.40k,Petrol,Manual,"15,227", Gandhi Nagar,8.00 lakh
32, Renault,2020,TRIBER,59.81k,Petrol,Auto,"10,753"," Vaishnavi Sapphire Centre, Yeswanthpur",5.50 lakh
33, Honda,2018,City,70.99k,Petrol,Manual,"13,529", Nexus Whitefield,6.92 lakh
34, Hyundai,2016,Grand,82.76k,Petrol,Manual,"7,664", Nexus Whitefield,3.92 lakh
35, Volkswagen,2021,Polo,047.77k,Petrol,Manual,"15,034", Nexus Whitefield,7.69 lakh
36, Hyundai,2022,VENUE,17.55k,Petrol,Auto,"18,387", Nexus Whitefield,9.66 lakh
37, Hyundai,2015,i10,152.70k,Petrol,Manual,"7,341", Gandhi Nagar,3.30 lakh
38, Tata,2018,TIGOR,68.13k,Petrol,Auto,"9,091"," Bellahalli, Bengaluru",4.65 lakh
39, Renault,2018,Kwid,17.34k,Petrol,Auto,"7,683"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.93 lakh
40, Datsun,2016,Redi,52.43k,Petrol,Manual,"4,008", Nexus Whitefield,2.05 lakh
41, Datsun,2017,Redi,55.54k,Petrol,Manual,"4,770", Gandhi Nagar,2.44 lakh
42, Maruti,2015,Alto,54.47k,Petrol,Manual,"5,539"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2.49 lakh
43, Datsun,2017,Redi,52.54k,Petrol,Manual,"4,888"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2.50 lakh
44, Maruti,2015,Alto,62.78k,Petrol,Manual,"5,583"," Vaishnavi Sapphire Centre, Yeswanthpur",2.51 lakh
45, Renault,2016,Kwid,39.13k,Petrol,Manual,"5,024", Gandhi Nagar,2.57 lakh
46, Renault,2015,Kwid,63.10k,Petrol,Manual,"5,806"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2.61 lakh
47, Datsun,2018,Redi,28.06k,Petrol,Manual,"5,122"," Vaishnavi Sapphire Centre, Yeswanthpur",2.62 lakh
48, Datsun,2019,Redi,015.88k,Petrol,Manual,"5,239"," GT World Mall, Bengaluru",2.68 lakh
49, Renault,2017,Kwid,848.81k,Petrol,Manual,"5,239"," Vaishnavi Sapphire Centre, Yeswanthpur",2.68 lakh
50, Maruti,2014,Alto,22.87k,Petrol,Manual,"7,452"," Bellahalli, Bengaluru",2.83 lakh
51, Maruti,2016,Alto,76.71k,Petrol,Manual,"5,630"," Vaishnavi Sapphire Centre, Yeswanthpur",2.88 lakh
52, Honda,2013,Brio,,Petrol,Manual,"9,566"," Bellahalli, Bengaluru",2.88 lakh
53, Renault,2017,Kwid,70.81k,Petrol,Auto,"5,712"," GT World Mall, Bengaluru",2.92 lakh
54, Hyundai,2013,i10,142.02k,Petrol,Manual,"9,765"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2.94 lakh
55, Maruti,2018,Alto,60.25k,Petrol,Manual,"5,748"," Vaishnavi Sapphire Centre, Yeswanthpur",2.94 lakh
56, Hyundai,2017,Eon,45.01k,Petrol,Manual,"5,767", Gandhi Nagar,2.95 lakh
57, Renault,2017,Kwid,071.61k,Petrol,Manual,"5,806"," Vaishnavi Sapphire Centre, Yeswanthpur",2.97 lakh
58, Renault,2015,Kwid,835.95k,Petrol,Manual,"6,651", Nexus Whitefield,2.99 lakh
59, Maruti,2018,Alto,47.23k,Petrol,Manual,"5,924"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.03 lakh
60, Honda,2013,Brio,,Petrol,Manual,"9,566"," Bellahalli, Bengaluru",2.88 lakh
61, Tata,2017,Tiago,99.56k,Petrol,Manual,"7,605", Gandhi Nagar,3.89 lakh
62, Hyundai,2016,Creta,98.20k,Petrol,Auto,"14,057"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",7.19 lakh
63, Honda,2015,City,98.09k,Petrol,Manual,"10,566", Gandhi Nagar,4.75 lakh
64, Maruti,2017,Baleno,297.98k,Petrol,Manual,"10,323"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",5.28 lakh
65, Hyundai,2015,Grand,96.34k,Petrol,Manual,"8,208"," Bellahalli, Bengaluru",3.69 lakh
66, Nissan,2014,Terrano,96.31k,Diesel,Manual,"14,681"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.42 lakh
67, Maruti,2018,Baleno,296.16k,Petrol,Manual,"11,241"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",5.75 lakh
68, Honda,2019,Amaze,96.08k,Diesel,Manual,"12,219"," Bellahalli, Bengaluru",6.25 lakh
69, Maruti,2017,Baleno,396.00k,Diesel,Manual,"12,375"," GT World Mall, Bengaluru",6.33 lakh
70, Maruti,2017,IGNIS,295.64k,Petrol,Manual,"8,250"," Vaishnavi Sapphire Centre, Yeswanthpur",4.22 lakh
71, Ford,2016,Ecosport,95.07k,Petrol,Auto,"11,163", Nexus Whitefield,5.71 lakh
72, Volkswagen,2014,Polo,94.92k,Petrol,Manual,"11,508"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.37 lakh
73, Maruti,2019,Baleno,294.25k,Petrol,Auto,"12,629", Gandhi Nagar,6.46 lakh
74, Maruti,2017,Ciaz,92.40k,Petrol,Manual,"11,144"," Bellahalli, Bengaluru",5.70 lakh
75, Honda,2016,BR,92.05k,Petrol,Auto,"12,414"," Bellahalli, Bengaluru",6.35 lakh
76, Maruti,2014,Swift,91.96k,Petrol,Manual,"10,744"," Bellahalli, Bengaluru",4.08 lakh
77, Maruti,2020,Celerio,91.87k,Petrol,Auto,"7,605"," Vaishnavi Sapphire Centre, Yeswanthpur",3.89 lakh
78, Hyundai,2019,Verna,91.76k,Diesel,Manual,"17,032"," Bellahalli, Bengaluru",8.95 lakh
79, Honda,2018,Jazz,91.22k,Petrol,Manual,"10,186", Nexus Whitefield,5.21 lakh
80, Mahindra,2024,XUV300,15.22k,Diesel,Auto,"21,737"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",11.42 lakh
81, Maruti,2024,FRONX,8.11k,Petrol,Manual,"20,652", Nexus Whitefield,10.85 lakh
82, Maruti,2024,Alto,12.76k,Petrol,Manual,"9,228"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.72 lakh
83, Maruti,2024,New,9.89k,Petrol,Auto,"13,607"," Bellahalli, Bengaluru",6.96 lakh
84, Maruti,2024,Swift,2.64k,Petrol,Auto,"18,749", Gandhi Nagar,9.85 lakh
85, Tata,2024,PUNCH,6.14k,Petrol,Manual,"15,246"," Bellahalli, Bengaluru",8.01 lakh
86, Tata,2024,Tiago,6.63k,Petrol,Auto,"13,998"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",7.16 lakh
87, Maruti,2023,FRONX,9.90k,Petrol,Auto,"16,560"," GT World Mall, Bengaluru",8.70 lakh
88, Hyundai,2023,Creta,19.50k,Petrol,Manual,"21,204"," Vaishnavi Sapphire Centre, Yeswanthpur",11.14 lakh
89, Nissan,2023,MAGNITE,29.12k,Petrol,Manual,"12,864"," GT World Mall, Bengaluru",6.58 lakh
90, Mahindra,2023,BOLERO,21.42k,Diesel,Manual,"19,719", Nexus Whitefield,10.36 lakh
91, MG,2023,ASTOR,11.71k,Petrol,Auto,"27,942"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",14.68 lakh
92, Tata,2023,NEXON,22.96k,Petrol,Manual,"23,735", Gandhi Nagar,12.47 lakh
93, Maruti,2023,Eeco,222.13k,Petrol,Manual,"10,381"," Bellahalli, Bengaluru",5.31 lakh
94, Hyundai,2023,GRAND,31.44k,Petrol,Manual,"12,219"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",6.25 lakh
95, Tata,2023,NEXON,29.72k,Petrol,Auto,"20,176"," Bellahalli, Bengaluru",10.60 lakh
96, KIA,2023,SONET,42.41k,Petrol,Manual,"18,063"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",9.49 lakh
97, Hyundai,2023,NEW,31.19k,Petrol,Manual,"14,643"," Garuda Mall, Magrath Road, Bengaluru",7.49 lakh
98, Mahindra,2023,XUV300,18.13k,Petrol,Manual,"15,836", Gandhi Nagar,8.32 lakh
99, Maruti,2023,Celerio,2.72k,Petrol,Auto,"11,906"," Bellahalli, Bengaluru",6.09 lakh
100, Hyundai,2011,i20,252.47k,Petrol,Manual,"28,965"," Bellahalli, Bengaluru",3.26 lakh
101, Hyundai,2013,i10,142.02k,Petrol,Manual,"9,765"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2.94 lakh
102, Hyundai,2013,i20,279.63k,Petrol,Manual,"11,584"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.49 lakh
103, Skoda,2013,Rapid,81.69k,Petrol,Manual,"11,559"," Bellahalli, Bengaluru",3.48 lakh
104, Volkswagen,2013,Polo,69.77k,Petrol,Manual,"13,280", Gandhi Nagar,4.00 lakh
105, Honda,2013,Brio,,Petrol,Manual,"9,566"," Bellahalli, Bengaluru",2.88 lakh
106, Maruti,2013,Wagon,52.28k,Petrol,Manual,"10,994", Nexus Whitefield,3.31 lakh
107, Hyundai,2013,i10,283.59k,Petrol,Manual,"10,197"," Vaishnavi Sapphire Centre, Yeswanthpur",3.07 lakh
108, Honda,2013,Brio,34.04k,Petrol,Manual,"10,828"," Bellahalli, Bengaluru",3.26 lakh
109, Hyundai,2013,i20,32.21k,Petrol,Manual,"16,508"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.97 lakh
110, Volkswagen,2014,Polo,94.92k,Petrol,Manual,"11,508"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.37 lakh
111, Maruti,2014,Alto,22.87k,Petrol,Manual,"7,452"," Bellahalli, Bengaluru",2.83 lakh
112, Hyundai,2014,i20,263.73k,Petrol,Manual,"10,244"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.89 lakh
113, Maruti,2014,Swift,91.96k,Petrol,Manual,"10,744"," Bellahalli, Bengaluru",4.08 lakh
114, Hyundai,2014,Xcent,72.82k,Petrol,Auto,"10,507", Gandhi Nagar,3.99 lakh
115, Hyundai,2014,i20,269.73k,Petrol,Manual,"10,929", Gandhi Nagar,4.15 lakh
116, Nissan,2014,Terrano,96.31k,Diesel,Manual,"14,681"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.42 lakh
117, Hyundai,2014,Grand,54.78k,Petrol,Auto,"10,771"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",4.09 lakh
118, Hyundai,2014,Grand,60.71k,Petrol,Manual,"10,060", Gandhi Nagar,3.82 lakh
119, Hyundai,2015,i10,152.70k,Petrol,Manual,"7,341", Gandhi Nagar,3.30 lakh
120, Hyundai,2013,i20,279.63k,Petrol,Manual,"11,584"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.49 lakh
121, Hyundai,2014,Grand,60.71k,Petrol,Manual,"10,060", Gandhi Nagar,3.82 lakh
122, Hyundai,2015,Xcent,252.67k,Petrol,Manual,"8,297", Gandhi Nagar,3.73 lakh
123, Hyundai,2015,Grand,96.34k,Petrol,Manual,"8,208"," Bellahalli, Bengaluru",3.69 lakh
124, Hyundai,2016,Verna,68.20k,Petrol,Manual,"12,864", Gandhi Nagar,6.58 lakh
125, Hyundai,2016,Creta,57.97k,Petrol,Auto,"15,494", Nexus Whitefield,8.14 lakh
126, Hyundai,2016,Elite,251.56k,Petrol,Manual,"10,968"," Garuda Mall, Magrath Road, Bengaluru",5.61 lakh
127, Hyundai,2016,Grand,56.70k,Petrol,Auto,"8,387", Nexus Whitefield,4.29 lakh
128, Hyundai,2016,Creta,98.20k,Petrol,Auto,"14,057"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",7.19 lakh
129, Hyundai,2016,Grand,28.67k,Petrol,Manual,"8,661"," Garuda Mall, Magrath Road, Bengaluru",4.43 lakh
130, Hyundai,2017,Elite,269.31k,Petrol,Manual,"10,772"," Bellahalli, Bengaluru",5.51 lakh
131, Hyundai,2017,Xcent,236.86k,Petrol,Auto,"10,049"," Garuda Mall, Magrath Road, Bengaluru",5.14 lakh
132, Hyundai,2017,Elite,46.74k,Petrol,Manual,"11,926"," Bellahalli, Bengaluru",6.10 lakh
133, Hyundai,2017,Eon,15.15k,Petrol,Manual,"6,217"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",3.18 lakh
134, Hyundai,2017,Eon,45.01k,Petrol,Manual,"5,767", Gandhi Nagar,2.95 lakh
135, Hyundai,2017,Grand,54.73k,Petrol,Auto,"9,834"," Vaishnavi Sapphire Centre, Yeswanthpur",5.03 lakh
136, Hyundai,2017,Elite,32.15k,Petrol,Manual,"11,124", Gandhi Nagar,5.69 lakh
137, Hyundai,2018,Grand,31.36k,Petrol,Auto,"11,300"," Vaishnavi Sapphire Centre, Yeswanthpur",5.78 lakh
138, Hyundai,2018,NEW,48.79k,Petrol,Auto,"8,152"," Bellahalli, Bengaluru",4.17 lakh
139, Hyundai,2019,Creta,32.29k,Petrol,Auto,"21,090"," Whitefield Main Road, Bhoruka Tech Park, Bengaluru",11.08 lakh
140, Maruti,2013,Alto,38.21k,Petrol,Manual,"5,829"," Regency Anantam, Dombivli East",1.75 lakh
141, Maruti,2013,Wagon,76.23k,Petrol,Manual,"7,540"," Kandivali, Mumbai",2.27 lakh
142, Hyundai,2013,Verna,28.69k,Petrol,Manual,"11,293"," Seawood
",3.40 lakh
143, Hyundai,2013,Grand,86.81k,Petrol,Manual,"9,964"," Mulund West, Mumbai 
",3.00 lakh
144, Hyundai,2013,i20,286.20k,CNG,Manual,"27,721"," Seawood
",3.12 lakh
145, Maruti,2013,Swift,66.66k,Petrol,Manual,"10,463"," Kandivali, Mumbai",3.15 lakh
146, Hyundai,2013,i20,52.04k,Diesel,Manual,"16,099"," Goregaon, Mumbai",3.42 lakh
147, Maruti,2013,Wagon,28.91k,CNG,Manual,"23,989"," Goregaon, Mumbai",2.70 lakh
148, Maruti,2013,Ertiga,35.46k,Diesel,Manual,"25,608"," Goregaon, Mumbai",5.44 lakh
149, Hyundai,2013,i20,223.56k,Petrol,Manual,"9,821"," Seawood
",2.96 lakh
150, Maruti,2014,Wagon,76.48k,Petrol,Manual,"6,741"," Goregaon, Mumbai",2.56 lakh
151, Volkswagen,2014,Polo,97.25k,Petrol,Manual,"6,715"," Kandivali, Mumbai",2.55 lakh
152, Maruti,2014,Alto,30.59k,Petrol,Manual,"5,082"," Mulund West, Mumbai 
",1.93 lakh
153, Maruti,2014,Swift,29.05k,Petrol,Manual,"9,612"," Kandivali, Mumbai",3.65 lakh
154, Maruti,2014,Wagon,46.36k,Petrol,Manual,"6,715"," Mulund West, Mumbai 
",2.55 lakh
155, Maruti,2014,Swift,99.06k,Petrol,Manual,"8,894"," Kandivali, Mumbai",3.38 lakh
156, Volkswagen,2014,Polo,78.31k,Petrol,Manual,"8,295"," Kandivali, Mumbai",3.15 lakh
157, Toyota,2014,Etios,46.39k,Petrol,Manual,"8,558"," Mulund West, Mumbai 
",3.25 lakh
158, Toyota,2014,Etios,63.64k,Petrol,Manual,"6,583"," Kandivali, Mumbai",2.50 lakh
159, Maruti,2014,Ertiga,41.47k,CNG,Manual,"24,243"," Kandivali, Mumbai",5.15 lakh
